TimeStamp,Source_State_ID,Target_State_ID,TouchedElement_Type,TouchedElement_Label,TouchedElement_Action,TouchedElement_Details,Methods
1415828548.668523,S0,S1,,,,,[MTGJudgeAppDelegate: applicationDidFinishLaunching:];[QuickReferenceController: viewDidLoad];[QuickReferenceController: numberOfSectionsInTableView:];[QuickReferenceController: numberOfSectionsInTableView:];[QuickReferenceController: tableView:numberOfRowsInSection:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: tableView:cellForRowAtIndexPath:];[QuickReferenceController: copyResourcesToDocuments];[CheckForUpdatesController: checkForUpdatesAsync];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];[CheckForUpdatesController: checkForUpdates];,
1415828613.668984,S1,S2,UITableViewCell,Penalties,tableCellClicked,,[QuickReferenceDetailController: hidesBottomBarWhenPushed];[QuickReferenceController: tableView:didSelectRowAtIndexPath:];,
1415828624.328251,S2,S1,UIButton,Back,goBack,,[QuickReferenceController: copyResourcesToDocuments];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];,
1415828631.515567,S1,S2,UITableViewCell,Lapsing Triggers,tableCellClicked,,[QuickReferenceDetailController: hidesBottomBarWhenPushed];[QuickReferenceController: tableView:didSelectRowAtIndexPath:];,
1415828639.707119,S2,S1,UIButton,Back,goBack,,[QuickReferenceController: copyResourcesToDocuments];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];,
1415828650.554898,S1,S2,UITableViewCell,Layers / Casting Spells,tableCellClicked,,[QuickReferenceDetailController: hidesBottomBarWhenPushed];[QuickReferenceController: tableView:didSelectRowAtIndexPath:];,
1415828658.386627,S2,S1,UIButton,Back,goBack,,[QuickReferenceController: copyResourcesToDocuments];[QuickReferenceController: checkForNewFiles];[QuickReferenceController: viewDidAppear:];,
1415828671.417516,S1,S8,UITabBarButton,Oracle,itemClicked,,[OracleLookupController: viewWillAppear:];,
1415828683.810133,S8,S8,UITableViewCell,Abeyance,tableCellClicked,,[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];[OracleLookupController: scrollViewDidScroll:];,
1415828696.745032,S8,S10,UITabBarButton,IPG,itemClicked,,[OracleLookupController: viewWillDisappear:];,
